# Pinyin Bef_Pause_Duration Syllable_Duration Prosodic_Word_Boundary_Flag Tone Stressed_Flag P A D
#
ze2 0.000000 0.346875 0 2 1 0.0 0.0 0.0
3 0.000000 0.198687 1 3 1 0.0 0.0 0.0
go3 0.000000 0.300000 0 3 1 0.0 0.0 0.0
3 0.000000 0.198687 1 3 1 0.0 0.0 0.0
si1 0.000000 0.443500 0 1 1 0.0 0.0 0.0
3 0.000000 0.198687 1 3 1 0.0 0.0 0.0
go1 0.000000 0.277125 0 1 1 0.0 0.0 0.0
3 0.000000 0.198687 1 3 1 0.0 0.0 0.0
si6 0.000000 0.410000 0 6 1 0.0 0.0 0.0
3 0.000000 0.198687 1 3 1 0.0 0.0 0.0
jat1 0.000000 0.266813 0 1 1 0.0 0.0 0.0
3 0.000000 0.198687 1 3 1 0.0 0.0 0.0
go3 0.000000 0.300000 0 3 1 0.0 0.0 0.0
3 0.000000 0.198687 1 3 1 0.0 0.0 0.0
caak1 0.000000 0.279125 0 1 1 0.0 0.0 0.0
3 0.000000 0.198687 1 3 1 0.0 0.0 0.0
si3 0.000000 0.440000 1 3 1 0.0 0.0 0.0
